review_profilename_index,recommendations
1,"[Row(beer_beerid=51494, rating=5.451448917388916), Row(beer_beerid=35361, rating=5.3672661781311035)]"
12,"[Row(beer_beerid=42941, rating=4.948400974273682), Row(beer_beerid=76115, rating=4.904824256896973)]"
13,"[Row(beer_beerid=51494, rating=4.787848472595215), Row(beer_beerid=35361, rating=4.7187347412109375)]"
22,"[Row(beer_beerid=51494, rating=5.102408409118652), Row(beer_beerid=42941, rating=5.045454978942871)]"
26,"[Row(beer_beerid=42941, rating=5.043136119842529), Row(beer_beerid=51494, rating=4.974008560180664)]"
27,"[Row(beer_beerid=25702, rating=4.998652458190918), Row(beer_beerid=54147, rating=4.934662342071533)]"
28,"[Row(beer_beerid=51494, rating=4.968120574951172), Row(beer_beerid=35361, rating=4.96302604675293)]"
31,"[Row(beer_beerid=52862, rating=5.240086555480957), Row(beer_beerid=51494, rating=5.216176986694336)]"
34,"[Row(beer_beerid=51494, rating=5.253516674041748), Row(beer_beerid=42941, rating=5.186496257781982)]"
44,"[Row(beer_beerid=52862, rating=4.969540596008301), Row(beer_beerid=54147, rating=4.9506096839904785)]"
47,"[Row(beer_beerid=51494, rating=5.096160411834717), Row(beer_beerid=42941, rating=5.0118937492370605)]"
52,"[Row(beer_beerid=51494, rating=5.275786399841309), Row(beer_beerid=42941, rating=5.225648403167725)]"
53,"[Row(beer_beerid=54147, rating=4.812955856323242), Row(beer_beerid=65469, rating=4.7820258140563965)]"
65,"[Row(beer_beerid=76115, rating=5.091698169708252), Row(beer_beerid=53731, rating=5.091698169708252)]"
76,"[Row(beer_beerid=52862, rating=5.019622325897217), Row(beer_beerid=45680, rating=4.800008773803711)]"
78,"[Row(beer_beerid=51494, rating=5.219343662261963), Row(beer_beerid=35361, rating=5.2069172859191895)]"
81,"[Row(beer_beerid=35361, rating=4.914522647857666), Row(beer_beerid=51494, rating=4.885945796966553)]"
85,"[Row(beer_beerid=21596, rating=4.712543487548828), Row(beer_beerid=29197, rating=4.484655857086182)]"
91,"[Row(beer_beerid=51494, rating=4.991941452026367), Row(beer_beerid=42941, rating=4.978996753692627)]"
93,"[Row(beer_beerid=35361, rating=5.069114685058594), Row(beer_beerid=25702, rating=5.052047252655029)]"
101,"[Row(beer_beerid=51494, rating=5.257484436035156), Row(beer_beerid=42941, rating=5.224398136138916)]"
103,"[Row(beer_beerid=51494, rating=5.062344074249268), Row(beer_beerid=35361, rating=5.025550842285156)]"
108,"[Row(beer_beerid=42941, rating=5.19183349609375), Row(beer_beerid=51494, rating=5.189023494720459)]"
111,"[Row(beer_beerid=35361, rating=5.098577499389648), Row(beer_beerid=74086, rating=4.955904960632324)]"
115,"[Row(beer_beerid=42941, rating=4.963973045349121), Row(beer_beerid=51494, rating=4.90882682800293)]"
122,"[Row(beer_beerid=42941, rating=5.010651588439941), Row(beer_beerid=51494, rating=5.001574993133545)]"
126,"[Row(beer_beerid=51494, rating=5.103213787078857), Row(beer_beerid=20507, rating=4.8783369064331055)]"
128,"[Row(beer_beerid=51494, rating=5.153371334075928), Row(beer_beerid=52862, rating=5.083169460296631)]"
132,"[Row(beer_beerid=51494, rating=4.9283342361450195), Row(beer_beerid=29103, rating=4.855912685394287)]"
133,"[Row(beer_beerid=51494, rating=5.0492730140686035), Row(beer_beerid=42941, rating=4.959229469299316)]"
137,"[Row(beer_beerid=52862, rating=4.866039276123047), Row(beer_beerid=51494, rating=4.823895454406738)]"
140,"[Row(beer_beerid=51494, rating=5.054688453674316), Row(beer_beerid=42941, rating=4.999616622924805)]"
146,"[Row(beer_beerid=51494, rating=5.287115097045898), Row(beer_beerid=35361, rating=5.173631191253662)]"
148,"[Row(beer_beerid=51494, rating=4.962667465209961), Row(beer_beerid=35361, rating=4.904965877532959)]"
152,"[Row(beer_beerid=51494, rating=4.920544147491455), Row(beer_beerid=35361, rating=4.880371570587158)]"
155,"[Row(beer_beerid=51494, rating=5.048332214355469), Row(beer_beerid=35361, rating=4.963877201080322)]"
157,"[Row(beer_beerid=51494, rating=5.069141387939453), Row(beer_beerid=35361, rating=5.012330055236816)]"
159,"[Row(beer_beerid=51494, rating=4.977298736572266), Row(beer_beerid=42941, rating=4.887490272521973)]"
177,"[Row(beer_beerid=51494, rating=5.067694187164307), Row(beer_beerid=42941, rating=5.011701583862305)]"
182,"[Row(beer_beerid=52862, rating=4.8369598388671875), Row(beer_beerid=67231, rating=4.822805404663086)]"
183,"[Row(beer_beerid=42941, rating=5.0159912109375), Row(beer_beerid=52862, rating=5.015707969665527)]"
185,"[Row(beer_beerid=51494, rating=5.103410720825195), Row(beer_beerid=42941, rating=5.085914611816406)]"
190,"[Row(beer_beerid=1270, rating=5.124067783355713), Row(beer_beerid=62029, rating=5.0598978996276855)]"
192,"[Row(beer_beerid=51494, rating=5.289322853088379), Row(beer_beerid=35361, rating=5.18174934387207)]"
193,"[Row(beer_beerid=35361, rating=4.98956298828125), Row(beer_beerid=25702, rating=4.953716278076172)]"
206,"[Row(beer_beerid=52862, rating=5.504634380340576), Row(beer_beerid=55042, rating=5.396595478057861)]"
209,"[Row(beer_beerid=51494, rating=5.215974807739258), Row(beer_beerid=52862, rating=5.154293060302734)]"
210,"[Row(beer_beerid=42941, rating=5.036150932312012), Row(beer_beerid=51494, rating=5.002137184143066)]"
211,"[Row(beer_beerid=35361, rating=5.000411510467529), Row(beer_beerid=51494, rating=4.9243268966674805)]"
212,"[Row(beer_beerid=51494, rating=4.807687282562256), Row(beer_beerid=42941, rating=4.770692825317383)]"
218,"[Row(beer_beerid=52862, rating=5.562433242797852), Row(beer_beerid=31886, rating=4.869314193725586)]"
222,"[Row(beer_beerid=51494, rating=4.873515605926514), Row(beer_beerid=42941, rating=4.872260570526123)]"
223,"[Row(beer_beerid=42941, rating=5.143744945526123), Row(beer_beerid=51494, rating=5.117870330810547)]"
224,"[Row(beer_beerid=51494, rating=5.397282123565674), Row(beer_beerid=68614, rating=5.253937244415283)]"
225,"[Row(beer_beerid=35361, rating=5.480931758880615), Row(beer_beerid=42941, rating=5.330918788909912)]"
230,"[Row(beer_beerid=42941, rating=5.021836757659912), Row(beer_beerid=51494, rating=5.015150547027588)]"
